id,nodes,edges,rand,greedy,semiGreedy,grasp
1,800,19176,9602,11267,11155,11461
2,800,19176,9640,11244,11087,11442
3,800,19176,9567,11334,11138,11509
4,800,19176,9541,11279,11162,11455
5,800,19176,9670,11311,11141,11460
6,800,19176,34,1790,1622,2007
7,800,19176,-42,1589,1493,1858
8,800,19176,-233,1578,1485,1814
9,800,19176,47,1727,1535,1873
10,800,19176,-114,1665,1472,1835
11,800,1600,2,472,440,506
12,800,1600,-30,484,432,494
13,800,1600,-2,510,439,510
14,800,4694,2368,2950,2935,2990
15,800,4661,2289,2930,2913,2971
16,800,4672,2382,2918,2911,2966
17,800,4667,2358,2930,2910,2976
18,800,4694,24,855,772,892
19,800,4661,-11,750,667,835
20,800,4672,-34,759,726,855
21,800,4667,82,780,706,823
22,2000,19990,10075,12795,12637,13039
23,2000,19990,9982,12799,12662,13024
24,2000,19990,10005,12761,12650,13018
25,2000,19990,10051,12846,12618,12986
26,2000,19990,10011,12747,12570,12946
27,2000,19990,79,2693,2453,2935
28,2000,19990,-68,2632,2394,2898
29,2000,19990,137,2745,2534,2983
30,2000,19990,1,2786,2503,3011
31,2000,19990,-13,2645,2422,2918
32,2000,4000,-20,1198,1080,1232
33,2000,4000,-18,1190,1076,1190
34,2000,4000,-10,1190,1043,1214
35,2000,11778,5879,7364,7333,7468
36,2000,11766,5807,7381,7353,7454
37,2000,11785,5823,7378,7364,7472
38,2000,11779,5859,7365,7356,7485
39,2000,11778,93,2022,1748,2116
40,2000,11766,-77,2019,1852,2098
41,2000,11785,-135,1988,1718,2157
42,2000,11779,85,2056,1909,2221
43,1000,9990,5014,6347,6266,6497
44,1000,9990,5020,6377,6289,6494
45,1000,9990,5063,6363,6323,6491
46,1000,9990,4964,6420,6308,6495
47,1000,9990,4993,6383,6289,6501
48,3000,6000,3000,6000,6000,6000
49,3000,6000,3000,6000,6000,6000
50,3000,6000,3000,5880,5866,5880
51,1000,5909,2925,3657,3677,3749
52,1000,5916,2957,3683,3690,3764
53,1000,5914,2954,3692,3679,3752
54,1000,5916,2909,3686,3683,3748
