id,nodes,edges,nIter,randLocal,grasp
1,800,19176,50,11422,11464
2,800,19176,50,11417,11460
3,800,19176,50,11419,11488
4,800,19176,50,11439,11476
5,800,19176,50,11448,11487
6,800,19176,50,1979,1990
7,800,19176,50,1831,1816
8,800,19176,50,1823,1874
9,800,19176,50,1866,1859
10,800,19176,50,1797,1834
11,800,1600,50,462,504
12,800,1600,50,442,496
13,800,1600,50,464,524
14,800,4694,50,2948,2983
15,800,4661,50,2923,2966
16,800,4672,50,2924,2980
17,800,4667,50,2923,2970
18,800,4694,50,856,901
19,800,4661,50,763,813
20,800,4672,50,796,873
21,800,4667,50,784,858
22,2000,19990,50,12866,13020
23,2000,19990,50,12858,13016
24,2000,19990,50,12854,12995
25,2000,19990,50,12865,13021
26,2000,19990,50,12885,13043
27,2000,19990,50,2833,2966
28,2000,19990,50,2855,2913
29,2000,19990,50,2935,3045
30,2000,19990,50,2936,3037
31,2000,19990,50,2833,2965
32,2000,4000,50,1096,1246
33,2000,4000,50,1086,1214
34,2000,4000,50,1084,1234
35,2000,11778,50,7356,7477
36,2000,11766,50,7351,7477
37,2000,11785,50,7349,7479
38,2000,11779,50,7366,7481
39,2000,11778,50,2052,2155
40,2000,11766,50,2001,2155
41,2000,11785,50,2012,2167
42,2000,11779,50,2106,2265
43,1000,9990,50,6443,6508
44,1000,9990,50,6452,6485
45,1000,9990,50,6424,6502
46,1000,9990,50,6440,6517
47,1000,9990,50,6444,6513
48,3000,6000,50,5086,6000
49,3000,6000,50,5072,6000
50,3000,6000,50,5082,5880
51,1000,5909,50,3686,3746
52,1000,5916,50,3709,3753
53,1000,5914,50,3697,3746
54,1000,5916,50,3703,3748
