id,nodes,edges,nIter_randLocal,randLocal,nIter_grasp,grasp
1,800,19176,9.36,11423,7.24,11435
2,800,19176,9.74,11429,6.86,11457
3,800,19176,9.02,11406,6.82,11465
4,800,19176,9.58,11465,7.1,11478
5,800,19176,9.32,11452,7.26,11520
6,800,19176,10.14,2009,7.36,2035
7,800,19176,9.3,1822,7.68,1855
8,800,19176,9.76,1889,6.94,1833
9,800,19176,9.3,1841,7.38,1871
10,800,19176,9.5,1814,7.9,1840
11,800,1600,3.78,450,2.28,504
12,800,1600,3.86,444,2.48,492
13,800,1600,4.08,468,2.46,510
14,800,4694,4.22,2939,2.82,2993
15,800,4661,4.2,2920,2.66,2982
16,800,4672,4.24,2938,2.58,2978
17,800,4667,4.26,2921,2.72,2962
18,800,4694,4.82,852,3.66,923
19,800,4661,4.86,771,3.86,810
20,800,4672,4.68,795,3.7,880
21,800,4667,4.8,786,3.74,845
22,2000,19990,8.54,12883,6.34,13022
23,2000,19990,8.1,12878,6.06,13056
24,2000,19990,8.28,12841,6.44,13023
25,2000,19990,8.9,12875,6.22,13031
26,2000,19990,8.46,12840,5.9,13033
27,2000,19990,8.58,2879,6.64,3012
28,2000,19990,8.64,2845,6.64,2930
29,2000,19990,8.4,2936,6.26,3013
30,2000,19990,8.22,2958,6.58,3033
31,2000,19990,8.34,2827,7.02,2913
32,2000,4000,4.3,1086,2.84,1226
33,2000,4000,4.42,1076,2.8,1224
34,2000,4000,4.38,1062,2.8,1218
35,2000,11778,4.52,7344,3.04,7464
36,2000,11766,4.42,7340,3.14,7485
37,2000,11785,4.46,7362,3.0,7483
38,2000,11779,4.54,7340,3.12,7472
39,2000,11778,5.3,2038,4.18,2154
40,2000,11766,5.46,2023,4.28,2180
41,2000,11785,5.4,2027,4.34,2162
42,2000,11779,5.58,2093,4.28,2219
43,1000,9990,7.8,6419,5.5,6538
44,1000,9990,7.54,6453,5.14,6508
45,1000,9990,7.52,6421,5.36,6502
46,1000,9990,7.26,6433,5.44,6483
47,1000,9990,8.12,6465,5.18,6504
48,3000,6000,6.18,5042,1.0,6000
49,3000,6000,6.34,5074,1.0,6000
50,3000,6000,6.36,5070,1.34,5880
51,1000,5909,4.28,3693,2.92,3756
52,1000,5916,4.26,3700,2.84,3754
53,1000,5914,4.22,3690,2.72,3750
54,1000,5916,4.16,3697,2.8,3748
