id,nodes,edges,iterID,nIter_randLocal,randLocal,nIter_GRASP,grasp
1,800,19176,1,12,11352,8,11353
1,800,19176,2,7,11312,10,11408
1,800,19176,3,8,11260,4,11372
1,800,19176,4,9,11370,6,11375
1,800,19176,5,13,11365,4,11367
1,800,19176,6,11,11335,7,11381
1,800,19176,7,10,11368,8,11396
1,800,19176,8,11,11382,9,11348
1,800,19176,9,8,11295,6,11412
1,800,19176,10,9,11329,11,11397
1,800,19176,11,9,11324,7,11340
1,800,19176,12,11,11405,8,11405
1,800,19176,13,11,11320,8,11313
1,800,19176,14,7,11255,6,11337
1,800,19176,15,7,11377,6,11368
1,800,19176,16,12,11316,4,11358
1,800,19176,17,8,11305,6,11371
1,800,19176,18,9,11284,5,11337
1,800,19176,19,9,11337,7,11281
1,800,19176,20,10,11361,5,11392
2,800,19176,1,12,11422,6,11360
2,800,19176,2,11,11385,7,11410
2,800,19176,3,7,11283,15,11426
2,800,19176,4,7,11272,9,11434
2,800,19176,5,9,11331,7,11394
2,800,19176,6,10,11367,6,11395
2,800,19176,7,9,11338,7,11365
2,800,19176,8,10,11383,8,11445
2,800,19176,9,7,11335,9,11419
2,800,19176,10,9,11379,6,11389
2,800,19176,11,8,11344,4,11413
2,800,19176,12,12,11342,6,11392
2,800,19176,13,7,11293,6,11378
2,800,19176,14,9,11368,6,11397
2,800,19176,15,9,11295,6,11393
2,800,19176,16,11,11367,5,11364
2,800,19176,17,7,11351,7,11384
2,800,19176,18,10,11312,8,11398
2,800,19176,19,10,11363,5,11404
2,800,19176,20,12,11347,6,11376
3,800,19176,1,6,11279,6,11305
3,800,19176,2,14,11352,10,11326
3,800,19176,3,10,11340,5,11372
3,800,19176,4,12,11360,8,11338
3,800,19176,5,7,11339,7,11393
3,800,19176,6,7,11308,4,11372
3,800,19176,7,8,11329,5,11321
3,800,19176,8,10,11321,8,11322
3,800,19176,9,9,11280,9,11389
3,800,19176,10,7,11356,8,11402
3,800,19176,11,10,11311,12,11409
3,800,19176,12,13,11425,7,11370
3,800,19176,13,6,11308,4,11422
3,800,19176,14,9,11299,6,11329
3,800,19176,15,10,11404,7,11404
3,800,19176,16,10,11332,8,11379
3,800,19176,17,9,11370,5,11352
3,800,19176,18,8,11342,5,11365
3,800,19176,19,11,11394,10,11343
3,800,19176,20,17,11332,9,11355
4,800,19176,1,7,11334,5,11372
4,800,19176,2,16,11364,4,11328
4,800,19176,3,13,11367,7,11395
4,800,19176,4,6,11275,6,11434
4,800,19176,5,8,11355,9,11423
4,800,19176,6,11,11366,5,11345
4,800,19176,7,7,11380,6,11419
4,800,19176,8,8,11413,8,11368
4,800,19176,9,7,11316,9,11379
4,800,19176,10,9,11372,7,11400
4,800,19176,11,8,11290,12,11415
4,800,19176,12,16,11364,6,11351
4,800,19176,13,11,11306,8,11447
4,800,19176,14,8,11291,6,11381
4,800,19176,15,15,11432,7,11402
4,800,19176,16,8,11338,5,11392
4,800,19176,17,9,11324,12,11359
4,800,19176,18,14,11387,8,11356
4,800,19176,19,10,11308,7,11335
4,800,19176,20,11,11394,5,11350
5,800,19176,1,7,11277,12,11369
5,800,19176,2,8,11287,4,11377
5,800,19176,3,7,11281,8,11395
5,800,19176,4,5,11258,7,11336
5,800,19176,5,16,11402,12,11360
5,800,19176,6,8,11292,6,11390
5,800,19176,7,11,11349,7,11341
5,800,19176,8,13,11341,9,11423
5,800,19176,9,9,11322,11,11361
5,800,19176,10,10,11373,7,11369
5,800,19176,11,10,11331,7,11403
5,800,19176,12,10,11422,5,11363
5,800,19176,13,13,11380,6,11405
5,800,19176,14,13,11436,5,11404
5,800,19176,15,10,11382,12,11401
5,800,19176,16,9,11296,7,11395
5,800,19176,17,9,11314,8,11323
5,800,19176,18,12,11410,6,11291
5,800,19176,19,10,11310,6,11353
5,800,19176,20,8,11317,5,11416
6,800,19176,1,9,1870,7,1819
6,800,19176,2,8,1909,13,1941
6,800,19176,3,7,1885,9,1906
6,800,19176,4,9,1934,7,1947
6,800,19176,5,9,1838,5,1841
6,800,19176,6,13,1958,5,1849
6,800,19176,7,10,1925,7,1849
6,800,19176,8,10,1897,9,1973
6,800,19176,9,10,1901,7,1878
6,800,19176,10,12,1875,9,1870
6,800,19176,11,7,1825,7,1897
6,800,19176,12,9,1917,8,1949
6,800,19176,13,9,1866,6,1860
6,800,19176,14,8,1926,7,1889
6,800,19176,15,11,1913,10,1906
6,800,19176,16,10,1997,5,1851
6,800,19176,17,8,1845,16,1956
6,800,19176,18,7,1877,10,1934
6,800,19176,19,12,1912,14,1919
6,800,19176,20,5,1872,9,1952
7,800,19176,1,9,1777,7,1815
7,800,19176,2,8,1761,5,1824
7,800,19176,3,8,1708,6,1723
7,800,19176,4,9,1700,7,1724
7,800,19176,5,8,1737,5,1768
7,800,19176,6,7,1691,7,1735
7,800,19176,7,9,1789,6,1733
7,800,19176,8,12,1717,9,1764
7,800,19176,9,8,1696,7,1821
7,800,19176,10,7,1691,7,1735
7,800,19176,11,9,1733,12,1805
7,800,19176,12,8,1716,7,1794
7,800,19176,13,8,1678,8,1744
7,800,19176,14,9,1743,11,1777
7,800,19176,15,8,1720,6,1755
7,800,19176,16,7,1717,5,1803
7,800,19176,17,6,1688,5,1714
7,800,19176,18,12,1686,6,1719
7,800,19176,19,8,1687,8,1749
7,800,19176,20,11,1712,9,1746
8,800,19176,1,14,1689,7,1779
8,800,19176,2,8,1703,9,1804
8,800,19176,3,12,1813,7,1808
8,800,19176,4,8,1616,11,1840
8,800,19176,5,11,1770,7,1773
8,800,19176,6,8,1687,6,1736
8,800,19176,7,11,1833,8,1728
8,800,19176,8,7,1716,6,1760
8,800,19176,9,14,1826,7,1757
8,800,19176,10,11,1692,7,1816
8,800,19176,11,11,1788,11,1803
8,800,19176,12,9,1713,11,1789
8,800,19176,13,6,1660,12,1821
8,800,19176,14,11,1688,5,1678
8,800,19176,15,8,1737,7,1763
8,800,19176,16,11,1698,9,1750
8,800,19176,17,9,1719,7,1809
8,800,19176,18,11,1683,4,1790
8,800,19176,19,7,1687,15,1763
8,800,19176,20,8,1739,7,1781
9,800,19176,1,9,1735,8,1767
9,800,19176,2,11,1780,9,1783
9,800,19176,3,9,1796,7,1725
9,800,19176,4,9,1701,9,1800
9,800,19176,5,11,1801,9,1742
9,800,19176,6,10,1753,7,1800
9,800,19176,7,5,1704,5,1782
9,800,19176,8,10,1800,5,1806
9,800,19176,9,8,1723,4,1798
9,800,19176,10,15,1817,7,1722
9,800,19176,11,7,1720,6,1792
9,800,19176,12,11,1730,6,1861
9,800,19176,13,9,1715,5,1742
9,800,19176,14,6,1772,7,1794
9,800,19176,15,8,1732,6,1848
9,800,19176,16,12,1785,5,1781
9,800,19176,17,7,1777,7,1805
9,800,19176,18,10,1787,6,1786
9,800,19176,19,8,1744,6,1727
9,800,19176,20,10,1790,7,1755
10,800,19176,1,11,1660,7,1801
10,800,19176,2,19,1811,5,1707
10,800,19176,3,10,1764,6,1674
10,800,19176,4,10,1745,8,1752
10,800,19176,5,8,1697,5,1761
10,800,19176,6,13,1707,4,1747
10,800,19176,7,11,1735,9,1740
10,800,19176,8,8,1700,8,1730
10,800,19176,9,9,1707,5,1722
10,800,19176,10,11,1732,5,1670
10,800,19176,11,8,1716,6,1651
10,800,19176,12,6,1733,6,1776
10,800,19176,13,10,1737,6,1716
10,800,19176,14,11,1806,8,1729
10,800,19176,15,10,1721,5,1771
10,800,19176,16,10,1700,5,1680
10,800,19176,17,7,1722,7,1821
10,800,19176,18,12,1757,13,1722
10,800,19176,19,14,1715,8,1714
10,800,19176,20,9,1732,8,1825
